 Run A B C D E F G H I J K Time
 8	+1	-1	+1	-1	+1	+1	+1	-1	-1	-1	+1	126
 8	+1	-1	+1	-1	+1	+1	+1	-1	-1	-1	+1	156
 8	+1	-1	+1	-1	+1	+1	+1	-1	-1	-1	+1	161
 8	+1	-1	+1	-1	+1	+1	+1	-1	-1	-1	+1	167
 8	+1	-1	+1	-1	+1	+1	+1	-1	-1	-1	+1	216
 8	+1	-1	+1	-1	+1	+1	+1	-1	-1	-1	+1	263
 9	+1	-1	-1	+1	+1	+1	-1	+1	+1	-1	-1	142
 9	+1	-1	-1	+1	+1	+1	-1	+1	+1	-1	-1	142
 9	+1	-1	-1	+1	+1	+1	-1	+1	+1	-1	-1	238
 9	+1	-1	-1	+1	+1	+1	-1	+1	+1	-1	-1	247
 9	+1	-1	-1	+1	+1	+1	-1	+1	+1	-1	-1	310
 9	+1	-1	-1	+1	+1	+1	-1	+1	+1	-1	-1	318
 9	+1	-1	-1	+1	+1	+1	-1	+1	+1	-1	-1	420
 9	+1	-1	-1	+1	+1	+1	-1	+1	+1	-1	-1	482
 9	+1	-1	-1	+1	+1	+1	-1	+1	+1	-1	-1	663
 9	+1	-1	-1	+1	+1	+1	-1	+1	+1	-1	-1	672
10	+1	+1	+1	-1	-1	-1	-1	+1	+1	-1	+1	259
10	+1	+1	+1	-1	-1	-1	-1	+1	+1	-1	+1	266
10	+1	+1	+1	-1	-1	-1	-1	+1	+1	-1	+1	306
10	+1	+1	+1	-1	-1	-1	-1	+1	+1	-1	+1	337
10	+1	+1	+1	-1	-1	-1	-1	+1	+1	-1	+1	347
10	+1	+1	+1	-1	-1	-1	-1	+1	+1	-1	+1	368
10	+1	+1	+1	-1	-1	-1	-1	+1	+1	-1	+1	372
10	+1	+1	+1	-1	-1	-1	-1	+1	+1	-1	+1	426
10	+1	+1	+1	-1	-1	-1	-1	+1	+1	-1	+1	451
10	+1	+1	+1	-1	-1	-1	-1	+1	+1	-1	+1	510
11	+1	+1	-1	+1	-1	+1	-1	-1	-1	+1	+1	381
11	+1	+1	-1	+1	-1	+1	-1	-1	-1	+1	+1	420
11	+1	+1	-1	+1	-1	+1	-1	-1	-1	+1	+1	7342
11	+1	+1	-1	+1	-1	+1	-1	-1	-1	+1	+1	7342
11	+1	+1	-1	+1	-1	+1	-1	-1	-1	+1	+1	7342
11	+1	+1	-1	+1	-1	+1	-1	-1	-1	+1	+1	7342
11	+1	+1	-1	+1	-1	+1	-1	-1	-1	+1	+1	7342
11	+1	+1	-1	+1	-1	+1	-1	-1	-1	+1	+1	7342
11	+1	+1	-1	+1	-1	+1	-1	-1	-1	+1	+1	7342
11	+1	+1	-1	+1	-1	+1	-1	-1	-1	+1	+1	7342
12	+1	+1	-1	-1	+1	-1	+1	-1	+1	+1	-1	56
12	+1	+1	-1	-1	+1	-1	+1	-1	+1	+1	-1	62
12	+1	+1	-1	-1	+1	-1	+1	-1	+1	+1	-1	92
12	+1	+1	-1	-1	+1	-1	+1	-1	+1	+1	-1	104
12	+1	+1	-1	-1	+1	-1	+1	-1	+1	+1	-1	113
12	+1	+1	-1	-1	+1	-1	+1	-1	+1	+1	-1	121
12	+1	+1	-1	-1	+1	-1	+1	-1	+1	+1	-1	164
12	+1	+1	-1	-1	+1	-1	+1	-1	+1	+1	-1	232
12	+1	+1	-1	-1	+1	-1	+1	-1	+1	+1	-1	258
12	+1	+1	-1	-1	+1	-1	+1	-1	+1	+1	-1	731
